Order,Text,AUDIOTEXT,TXTGRDTXT,StartTime,EndTime,stem,,LogFrqHAL,Close Brackets 3,Close Brackets Truncated,TDP,BUP,TDX,BUX,TDXStack,BUXStack,TDPennStack,BUPennStack,LexFunc,POS,EARLYX_SURPRISAL,Ngram Text,Ngram POS,2-gram lex,3-gram lex,2-gram pos,3-gram pos,Break Strength (post-word),Word,StartTimeCorrected,EndTimeCorrected,,TB-word,TB-arclabel,,TB-full-word,TB-full-arclabel
1,Alice,Alice,Alice,"20,0589","20,6216",Alice,,"8,65",2,2,4,3,5,2,2,2,2,1,1,NN,"4,407966971",alice,NNP,"4,260040589","4,260040589","3,226499067","3,226499067",1,Alice,20.119801196330258,20.63677680520908,,Alice,SUB,,Alice,SUB
2,was,was,was,"20,6216","20,8435",is,,"14,56",1,1,3,2,3,1,3,3,2,2,0,VB,"3,44764644",was,VBD,"4,543334617","2,951403557","2,136793706","0,9052287278",1,was,20.63677680520908,20.87777496965446,,was,VMOD,,was,VMOD
3,beginning,beginning,beginning,"20,8435","21,3158",begin,,"10,69",1,1,3,2,9,7,2,6,2,3,1,VB|NN,"8,517431514",beginning,VBG,"6,51127804","4,41338079","4,019964846","4,446766167",1,beginning,20.87777496965446,21.37614981457549,,beginning,VC,,beginning,VC
4,to,to,to,"21,3158","21,4118",to,,"16,35",1,1,4,2,8,6,2,8,2,4,0,minor,"3,380530559",to,TO,"1,001445053","0,885632674","3,159356256","2,537494638",0,to,21.37614981457549,21.411246634640353,,to,VMOD,,to,VMOD
5,get,get,get,"21,4118","21,6752",get,,"13,79",1,1,3,2,2,1,2,9,2,5,0,VB,"7,163665931",get,VB,"5,335348713","5,60621873","0,7199282567","1,023137244",2,get,21.411246634640353,21.62650713103817,,get,VMOD,,get,VMOD
6,very,very,very,"21,6752","22,3697",very,,"13,28",1,1,3,2,8,5,2,12,3,6,1,RB|JJ,"5,093008449",very,RB,"7,413414052","6,968807196","3,869979792","4,259243326",1,very,21.62650713103817,22.41037437158157,,very,AMOD,,very,AMOD
7,tired,tired,tired,"22,3697","22,8588",tire,,"9,86",1,1,2,2,2,1,2,13,2,7,1,VB|JJ,"7,275339851",tired,JJ,"6,528851039","2,798877229","3,1155666","2,64914132",3,tired,22.41037437158157,22.945113935411793,,tired,PRD,,tired,PRD
8,of,of,of,"22,8588","22,9976",of,,"16,21",1,1,3,2,4,1,4,14,2,8,0,minor,"3,31068999",of,IN,"0,7950769141","0,9098295982","3,225216802","1,835435033",1,of,22.945113935411793,23.07614206365394,,of,AMOD,,of,AMOD
9,sitting,sitting,sitting,"22,9976","23,3634",sit,,"10,08",1,1,4,2,16,12,4,18,3,9,1,VB|NN,"9,371694015",sitting,VBG,"10,88137411","5,120818597","4,603793708","3,898681251",1,sitting,23.07614206365394,23.41775111228526,,sitting,PMOD,,sitting,PMOD
10,by,by,by,"23,3634","23,543",by,,"14,4",1,1,3,2,15,10,6,21,3,10,0,minor|RB,"5,365325463",by,IN,"5,211772988","2,798877229","2,127412581","2,460874367",1,by,23.41775111228526,23.628332032674425,,by,VMOD,,by,VMOD
